City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
namdrik,5.5994,168.1028,28.82,74,9,7.32,MH,1717979553
hawaiian paradise park,19.5933,-154.9731,27.73,70,40,5.14,US,1717979553
tura,25.5198,90.2201,26.95,88,6,1.62,IN,1717979553
mil'kovo,55.6078,37.7956,15.27,72,4,2.1,RU,1717979553
guaruja,-23.9931,-46.2564,20.5,26,0,2.0,BR,1717979553
rikaze,29.25,88.8833,14.66,41,0,2.19,CN,1717979553
aasiaat,68.7098,-52.8699,1.1,99,100,3.7,GL,1717979553
ancud,-41.8697,-73.8203,9.59,88,83,5.11,CL,1717979350
blackmans bay,-43.0167,147.3167,9.74,68,5,1.79,AU,1717979553
port-aux-francais,-49.35,70.2167,3.08,87,100,17.36,TF,1717979553
ust-nera,64.5667,143.2,12.38,31,25,0.96,RU,1717979531
port lincoln,-34.7333,135.8667,15.88,61,100,3.63,AU,1717979298
invercargill,-46.4,168.35,8.9,74,1,1.34,NZ,1717979554
carnarvon,-24.8667,113.6333,20.74,80,97,5.25,AU,1717979554
puerto ayora,-0.7393,-90.3518,23.08,97,73,0.45,EC,1717979347
bilibino,68.0546,166.4372,12.91,39,54,1.32,RU,1717979554
kalabo,-14.97,22.6814,12.77,60,5,3.15,ZM,1717979554
adamstown,-25.066,-130.1015,22.31,75,100,5.65,PN,1717979554
waitangi,-43.9535,-176.5597,13.79,96,100,5.81,NZ,1717979554
lihue,21.9789,-159.3672,30.58,65,0,6.69,US,1717979554
grytviken,-54.2811,-36.5092,-7.11,77,22,5.18,GS,1717979554
qaqortoq,60.7167,-46.0333,6.75,89,94,1.45,GL,1717979554
west island,-12.1568,96.8225,24.99,94,40,2.57,CC,1717979555
kavaratti,10.5669,72.642,28.16,84,100,6.9,IN,1717979555
ambovombe,-25.1667,46.0833,18.22,63,97,6.88,MG,1717979555
isafjordur,66.0755,-23.124,3.74,88,18,1.18,IS,1717979555
fauske,67.2588,15.3918,13.76,57,16,0.9,NO,1717979555
sitka,57.0531,-135.33,10.52,78,92,1.72,US,1717979555
remire-montjoly,4.9167,-52.2667,26.02,94,20,0.0,GF,1717979555
puerto natales,-51.7236,-72.4875,1.38,99,100,2.39,CL,1717979365
yesilova,37.5081,29.7547,15.7,54,0,1.13,TR,1717979555
taksimo,56.3444,114.8794,16.53,47,0,1.13,RU,1717979555
talnakh,69.4865,88.3972,3.45,98,100,2.43,RU,1717979555
port elizabeth,-33.918,25.5701,8.16,93,0,1.03,ZA,1717979555
jamestown,42.097,-79.2353,16.4,95,100,3.6,US,1717979361
hasaki,35.7333,140.8333,20.22,80,99,4.48,JP,1717979556
prado,-17.3411,-39.2208,23.77,70,100,3.15,BR,1717979556
martapura,-3.4167,114.85,28.05,83,20,2.57,ID,1717979556
natal,-5.795,-35.2094,25.36,83,40,4.12,BR,1717979025
udachny,66.4167,112.4,21.36,32,42,4.26,RU,1717979556
stanley,54.868,-1.6985,8.49,90,20,2.06,GB,1717979556
lawrenceville,33.9562,-83.988,30.48,60,0,3.09,US,1717979235
margaret river,-33.95,115.0667,15.43,62,100,9.9,AU,1717979556
avarua,-21.2078,-159.775,25.03,47,20,3.6,CK,1717979556
shwebo,22.5667,95.7,30.06,68,100,5.04,MM,1717979556
susuman,62.7833,148.1667,7.21,46,100,0.45,RU,1717979556
torghay,49.6339,63.4981,19.62,82,0,4.78,KZ,1717979556
la ronge,55.1001,-105.2842,12.14,62,75,2.57,CA,1717979557
mokhsogollokh,61.4681,128.9203,21.24,32,8,1.26,RU,1717979557
georgetown,5.4112,100.3354,26.96,88,40,2.57,MY,1717978898
saundatti,15.7833,75.1167,22.92,88,100,4.95,IN,1717979557
wailua homesteads,22.0669,-159.378,30.24,72,0,6.69,US,1717979557
cabo san lucas,22.8909,-109.9124,25.17,73,0,4.47,MX,1717979557
yellowknife,62.456,-114.3525,17.29,39,75,4.63,CA,1717979557
isna,25.2934,32.554,30.01,18,0,4.74,EG,1717979557
iskateley,67.6803,53.1512,1.68,87,100,4.47,RU,1717979557
saipan,15.1355,145.701,32.39,66,40,6.17,MP,1717979557
brookings,44.3114,-96.7984,23.19,35,0,6.17,US,1717979557
jand,33.4299,72.0193,30.24,20,0,2.94,PK,1717979558
necochea,-38.5473,-58.7368,12.46,94,37,3.48,AR,1717979421
nuuk,64.1835,-51.7216,4.34,93,100,13.89,GL,1717979558
utrik,11.2278,169.8474,28.37,80,49,7.52,MH,1717979558
petropavlovsk-kamchatsky,53.0452,158.6483,17.33,75,75,5.81,RU,1717979532
palmer,42.1584,-72.3287,19.23,68,45,4.75,US,1717979299
bhachau,23.2833,70.35,28.23,77,99,6.29,IN,1717979558
sabang,5.8933,95.3214,29.02,76,99,9.24,ID,1717979558
katsuren-haebaru,26.3369,127.8719,27.27,82,75,1.54,JP,1717979558
